id,titulo,texto,categoria,palabras_clave,nivel_dificultad,fuente
128,Procesamiento de Big Data con Apache Spark,"Proyecto guiado: Procesamiento de Big Data con Apache Spark. Construye paso a paso una solución completa usando BERT, ETL y LightGBM. Enfocado en Data Science con código disponible en GitHub. Incluye una sección de preguntas frecuentes sobre MLflow.",Data Science,"BERT, ETL, LightGBM",Intermedio,Curso online
129,Estrategias de rollback en despliegues productivos,"Tutorial avanzado de Estrategias de rollback en despliegues productivos. Exploramos la integración de CircleCI con Travis CI para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción. El contenido también cubre errores comunes al usar ELK Stack.",DevOps,"CircleCI, Travis CI, ELK Stack, GitHub Actions, Jaeger",Intermedio,Conferencia
130,Estrategias de backup y recuperación de desastres,"Artículo técnico sobre Estrategias de backup y recuperación de desastres. Comparativa entre Route 53 y GKE: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Cloud.",Cloud,"Route 53, GKE, DynamoDB, Fargate",Intermedio,Tutorial
131,Desarrollo de APIs con FastAPI y Python,"Curso intensivo de Desarrollo de APIs con FastAPI y Python. Domina Hibernate, Express y Ruby on Rails a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Backend. El contenido también cubre errores comunes al usar Kubernetes.",Backend,"Hibernate, Express, Ruby on Rails, WebSocket, Mockito",Avanzado,Wiki interna
132,Manejo de formularios complejos en React,"Proyecto guiado: Manejo de formularios complejos en React. Construye paso a paso una solución completa usando SPA, JavaScript y Storybook. Enfocado en Frontend con código disponible en GitHub. El contenido también cubre errores comunes al usar Next.js.",Frontend,"SPA, JavaScript, Storybook, D3.js",Avanzado,Curso online
133,Bases de datos de grafos con Neo4j,"Deep dive sobre Bases de datos de grafos con Neo4j. Analizamos arquitecturas modernas que combinan replicación y ClickHouse. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Bases de Datos. Finalmente, se revisan consideraciones de rendimiento con Cassandra.",Bases de Datos,"replicación, ClickHouse, DynamoDB, Firestore, CDC, SQL",Básico,Webinar
134,Integración de Firebase en aplicaciones Android,Guía de referencia rápida: Integración de Firebase en aplicaciones Android. Consulta práctica sobre Google Play y App Store para resolver problemas cotidianos en Mobile. Incluye snippets de código y comandos útiles. Se incluyen ejemplos usando SwiftUI y Riverpod.,Mobile,"Google Play, App Store, Expo",Intermedio,Documentación oficial
135,Infraestructura como código con Terraform,"Guía completa sobre Infraestructura como código con Terraform. Aprenderás a trabajar con Vagrant, Istio y Trivy desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de DevOps.",DevOps,"Vagrant, Istio, Trivy, Nginx, Zipkin, New Relic",Básico,Dev.to
136,Documentación de APIs con Swagger y OpenAPI,"En este contenido se presentan los conceptos fundamentales de Documentación de APIs con Swagger y OpenAPI. Se explica paso a paso cómo implementar soluciones prácticas utilizando Jest y Hibernate, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Backend. Además, se discute la integración con Entity Framework.",Backend,"Jest, Hibernate, Kubernetes, Postman, Mockito",Básico,Tutorial
137,Gestión de experimentos con MLflow,"Guía completa sobre Gestión de experimentos con MLflow. Aprenderás a trabajar con BERT, Dask y Keras desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Data Science. Se proporciona una comparativa entre Prefect y visualización.",Data Science,"BERT, Dask, Keras",Básico,YouTube
138,Manejo de transacciones y concurrencia en bases de datos,"Masterclass de Manejo de transacciones y concurrencia en bases de datos. Se profundiza en JUnit, base de datos y .NET con casos de estudio de empresas reales. Incluye ejercicios de Backend para consolidar el aprendizaje. Además, se discute la integración con XML.",Backend,"JUnit, base de datos, .NET, WebSocket, PHP",Básico,Medium
139,Autenticación OAuth2 en APIs modernas,"Tutorial avanzado de Autenticación OAuth2 en APIs modernas. Exploramos la integración de Django con MySQL para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción. Incluye una sección de preguntas frecuentes sobre Node.js.",Backend,"Django, MySQL, token, Swagger, Maven",Avanzado,Documentación oficial
140,Persistencia local con Room y Core Data,"Workshop práctico: Persistencia local con Room y Core Data. Trabajaremos con push notifications, Google Maps y GPS en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Mobile.",Mobile,"push notifications, Google Maps, GPS, App Store, Dart",Intermedio,Webinar
141,Consumo de APIs GraphQL desde el frontend,"Tutorial avanzado de Consumo de APIs GraphQL desde el frontend. Exploramos la integración de Emotion con D3.js para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción. Se proporciona una comparativa entre SSR y Emotion.",Frontend,"Emotion, D3.js, accesibilidad, Three.js, Babel",Intermedio,Documentación oficial
142,Fine-tuning de modelos BERT con Hugging Face,"Documentación técnica sobre Fine-tuning de modelos BERT con Hugging Face. Se detallan las configuraciones necesarias para Plotly y NLTK, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. Se proporciona una comparativa entre Bokeh y Altair.",Data Science,"Plotly, NLTK, regresión",Intermedio,Medium
143,Tuning de rendimiento en Oracle y SQL Server,"Guía completa sobre Tuning de rendimiento en Oracle y SQL Server. Aprenderás a trabajar con TimescaleDB, SQLite y MySQL desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Bases de Datos. Se proporciona una comparativa entre DynamoDB y normalización.",Bases de Datos,"TimescaleDB, SQLite, MySQL",Avanzado,Medium
144,Configuración de Vite para proyectos modernos,"Masterclass de Configuración de Vite para proyectos modernos. Se profundiza en Bootstrap, React y Redux con casos de estudio de empresas reales. Incluye ejercicios de Frontend para consolidar el aprendizaje. El contenido también cubre errores comunes al usar CSS.",Frontend,"Bootstrap, React, Redux, componentes, ESLint",Intermedio,GitHub
145,Integración de Firebase en aplicaciones Android,Charla técnica: Integración de Firebase en aplicaciones Android. Se discuten los desafíos de implementar Swift y Cordova en escenarios reales de Mobile. Lecciones aprendidas y errores a evitar. Se incluyen ejemplos usando API móvil y cámara.,Mobile,"Swift, Cordova, ARKit, Realm, Firebase, Xcode",Avanzado,Curso online
146,Sincronización offline en aplicaciones móviles,"Introducción práctica a Sincronización offline en aplicaciones móviles. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando SwiftUI, iOS y estado. Perfecto para equipos que inician proyectos de Mobile. Además, se discute la integración con Google Play.",Mobile,"SwiftUI, iOS, estado, Room",Intermedio,Documentación oficial
147,Uso de Redis como capa de caché en aplicaciones web,"En este contenido se presentan los conceptos fundamentales de Uso de Redis como capa de caché en aplicaciones web. Se explica paso a paso cómo implementar soluciones prácticas utilizando Swagger y .NET, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Backend. Incluye una sección de preguntas frecuentes sobre Django.",Backend,"Swagger, .NET, Kubernetes, Mockito, Laravel, SOAP",Avanzado,Curso online
148,Orquestación de pipelines con Apache Airflow,"Charla técnica: Orquestación de pipelines con Apache Airflow. Se discuten los desafíos de implementar visualización y CatBoost en escenarios reales de Data Science. Lecciones aprendidas y errores a evitar. Además, se discute la integración con XGBoost.",Data Science,"visualización, CatBoost, NLP, Big Data, deep learning",Intermedio,GitHub
149,Gestión de estado en React Native con Redux,"Masterclass de Gestión de estado en React Native con Redux. Se profundiza en ARKit, API móvil y estado con casos de estudio de empresas reales. Incluye ejercicios de Mobile para consolidar el aprendizaje. Finalmente, se revisan consideraciones de rendimiento con Android Studio.",Mobile,"ARKit, API móvil, estado, widgets",Avanzado,Wiki interna
150,Criptografía asimétrica y firma digital,"Análisis de caso: Criptografía asimétrica y firma digital. Revisamos cómo una empresa migró de Kali Linux a HSM en su plataforma de Seguridad. Métricas, resultados y recomendaciones. Además, se discute la integración con Nmap.",Seguridad,"Kali Linux, HSM, Burp Suite, IDS, OWASP, firewall",Intermedio,Conferencia
151,Despliegue de servicios backend con Docker Compose,"Deep dive sobre Despliegue de servicios backend con Docker Compose. Analizamos arquitecturas modernas que combinan PostgreSQL y Django. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Backend. Incluye una sección de preguntas frecuentes sobre C#.",Backend,"PostgreSQL, Django, Kafka",Avanzado,Blog técnico
152,Gestión de estado con Zustand en React,"Proyecto guiado: Gestión de estado con Zustand en React. Construye paso a paso una solución completa usando Cypress, React y CSS. Enfocado en Frontend con código disponible en GitHub.",Frontend,"Cypress, React, CSS, Vue.js, SPA, Webpack",Avanzado,Libro técnico
153,Creación de APIs REST escalables con Spring Boot,"Guía completa sobre Creación de APIs REST escalables con Spring Boot. Aprenderás a trabajar con MySQL, Go y RESTful desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Backend. Se proporciona una comparativa entre RabbitMQ y GraphQL.",Backend,"MySQL, Go, RESTful, Ruby on Rails",Avanzado,Webinar
154,Patrón CQRS para sistemas de alta carga,"Guía completa sobre Patrón CQRS para sistemas de alta carga. Aprenderás a trabajar con RESTful, SQLAlchemy y token desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Backend. Incluye una sección de preguntas frecuentes sobre Laravel.",Backend,"RESTful, SQLAlchemy, token, Django",Básico,Documentación oficial
155,Diseño de esquemas relacionales eficientes,"Curso intensivo de Diseño de esquemas relacionales eficientes. Domina TimescaleDB, CDC y T-SQL a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Bases de Datos. Incluye una sección de preguntas frecuentes sobre PL/SQL.",Bases de Datos,"TimescaleDB, CDC, T-SQL, normalización, MariaDB",Intermedio,Dev.to
156,Orquestación de contenedores con EKS y GKE,Charla técnica: Orquestación de contenedores con EKS y GKE. Se discuten los desafíos de implementar AWS y EKS en escenarios reales de Cloud. Lecciones aprendidas y errores a evitar. Se incluyen ejemplos usando Lambda y SQS.,Cloud,"AWS, EKS, Azure DevOps, redes, Azure, CloudWatch",Avanzado,Wiki interna
157,Manejo de transacciones y concurrencia en bases de datos,"Guía completa sobre Manejo de transacciones y concurrencia en bases de datos. Aprenderás a trabajar con base de datos, Dapper y WebSocket desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Backend. Además, se discute la integración con OAuth2.",Backend,"base de datos, Dapper, WebSocket, Django",Intermedio,Blog técnico
158,Análisis exploratorio de datos con Pandas,"Deep dive sobre Análisis exploratorio de datos con Pandas. Analizamos arquitecturas modernas que combinan regresión y NumPy. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Data Science. Se proporciona una comparativa entre PyTorch y DVC.",Data Science,"regresión, NumPy, Scikit-learn, NLTK, Statsmodels",Avanzado,Curso online
159,Cumplimiento normativo GDPR en aplicaciones,"Tutorial avanzado de Cumplimiento normativo GDPR en aplicaciones. Exploramos la integración de WAF con PKI para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción.",Seguridad,"WAF, PKI, autenticación, certificados, hashing",Básico,Libro técnico
160,Despliegue de servicios backend con Docker Compose,"Deep dive sobre Despliegue de servicios backend con Docker Compose. Analizamos arquitecturas modernas que combinan FastAPI y Gradle. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Backend. Se proporciona una comparativa entre Hibernate y Entity Framework.",Backend,"FastAPI, Gradle, C#, Kubernetes, Entity Framework, Celery",Intermedio,Documentación oficial
161,Gestión de estado con Zustand en React,"Deep dive sobre Gestión de estado con Zustand en React. Analizamos arquitecturas modernas que combinan responsive y DOM. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Frontend. Se proporciona una comparativa entre Angular y Figma.",Frontend,"responsive, DOM, componentes, TypeScript",Básico,Libro técnico
162,Cloud Functions para procesamiento de eventos,"Introducción práctica a Cloud Functions para procesamiento de eventos. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando RDS, BigQuery y CloudTrail. Perfecto para equipos que inician proyectos de Cloud. Se proporciona una comparativa entre EKS y GKE.",Cloud,"RDS, BigQuery, CloudTrail, Lambda",Básico,Curso online
163,Configuración de firewalls y reglas de acceso,"En este contenido se presentan los conceptos fundamentales de Configuración de firewalls y reglas de acceso. Se explica paso a paso cómo implementar soluciones prácticas utilizando Nmap y compliance, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Seguridad. Además, se discute la integración con vulnerabilidades.",Seguridad,"Nmap, compliance, VPN, encriptación, CSRF, OWASP",Avanzado,Curso online
164,Comunicación asíncrona con RabbitMQ y Celery,"Artículo técnico sobre Comunicación asíncrona con RabbitMQ y Celery. Comparativa entre Express y CQRS: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Backend. Además, se discute la integración con Swagger.",Backend,"Express, CQRS, ORM, OAuth2, Laravel",Básico,Libro técnico
165,Gestión de certificados SSL/TLS,"Introducción práctica a Gestión de certificados SSL/TLS. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando OWASP, CSRF y pentesting. Perfecto para equipos que inician proyectos de Seguridad. Además, se discute la integración con criptografía.",Seguridad,"OWASP, CSRF, pentesting, MFA",Intermedio,Documentación oficial
166,Data warehousing con Amazon Redshift,"Deep dive sobre Data warehousing con Amazon Redshift. Analizamos arquitecturas modernas que combinan normalización y BASE. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Bases de Datos. Incluye una sección de preguntas frecuentes sobre TimescaleDB.",Bases de Datos,"normalización, BASE, OLAP, Cassandra, replicación, procedimientos almacenados",Intermedio,Dev.to
167,Implementación de GraphQL en APIs existentes,"Análisis de caso: Implementación de GraphQL en APIs existentes. Revisamos cómo una empresa migró de Kubernetes a RabbitMQ en su plataforma de Backend. Métricas, resultados y recomendaciones. Se proporciona una comparativa entre CQRS y OpenAPI.",Backend,"Kubernetes, RabbitMQ, Spring Boot",Avanzado,Curso online
168,Comunicación asíncrona con RabbitMQ y Celery,"Introducción práctica a Comunicación asíncrona con RabbitMQ y Celery. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando ORM, Express y base de datos. Perfecto para equipos que inician proyectos de Backend. Se proporciona una comparativa entre Go y MySQL.",Backend,"ORM, Express, base de datos, Postman, .NET, gRPC",Avanzado,Wiki interna
169,Teorema CAP y consistencia en bases distribuidas,"Proyecto guiado: Teorema CAP y consistencia en bases distribuidas. Construye paso a paso una solución completa usando Cassandra, TimescaleDB y PL/SQL. Enfocado en Bases de Datos con código disponible en GitHub. Finalmente, se revisan consideraciones de rendimiento con migración.",Bases de Datos,"Cassandra, TimescaleDB, PL/SQL, Oracle",Intermedio,Libro técnico
170,Server Side Rendering con Next.js,"Deep dive sobre Server Side Rendering con Next.js. Analizamos arquitecturas modernas que combinan CSS y Prettier. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Frontend. Se proporciona una comparativa entre Ant Design y CSS.",Frontend,"CSS, Prettier, Figma, componentes, Bootstrap",Intermedio,Conferencia
171,WebSockets para comunicación bidireccional,"Introducción práctica a WebSockets para comunicación bidireccional. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando NestJS, MySQL y ORM. Perfecto para equipos que inician proyectos de Backend.",Backend,"NestJS, MySQL, ORM, Maven, Express, Docker",Intermedio,YouTube
172,Automatización de despliegues con Ansible,Charla técnica: Automatización de despliegues con Ansible. Se discuten los desafíos de implementar Jaeger y CircleCI en escenarios reales de DevOps. Lecciones aprendidas y errores a evitar. Incluye una sección de preguntas frecuentes sobre Packer.,DevOps,"Jaeger, CircleCI, Vault, Trivy, Envoy, SonarQube",Intermedio,Blog técnico
173,Bases de datos de series temporales con InfluxDB,"Artículo técnico sobre Bases de datos de series temporales con InfluxDB. Comparativa entre MariaDB y ETL: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Bases de Datos.",Bases de Datos,"MariaDB, ETL, OLAP, CockroachDB, Oracle",Intermedio,Blog técnico
174,Animaciones y transiciones CSS avanzadas,"Curso intensivo de Animaciones y transiciones CSS avanzadas. Domina Next.js, Framer Motion y React a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Frontend.",Frontend,"Next.js, Framer Motion, React, Cypress",Intermedio,Curso online
175,Diseño de sistemas de diseño con Storybook,"Análisis de caso: Diseño de sistemas de diseño con Storybook. Revisamos cómo una empresa migró de responsive a GSAP en su plataforma de Frontend. Métricas, resultados y recomendaciones.",Frontend,"responsive, GSAP, Bootstrap",Básico,Dev.to
176,SRE: prácticas de ingeniería de confiabilidad,"En este contenido se presentan los conceptos fundamentales de SRE: prácticas de ingeniería de confiabilidad. Se explica paso a paso cómo implementar soluciones prácticas utilizando CI/CD y Jenkins, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en DevOps. Se incluyen ejemplos usando GitOps y Consul.",DevOps,"CI/CD, Jenkins, Packer, Nginx, SonarQube, Linux",Básico,Libro técnico
177,DNS y balanceo global con Route 53,"Masterclass de DNS y balanceo global con Route 53. Se profundiza en serverless, BigQuery y AWS con casos de estudio de empresas reales. Incluye ejercicios de Cloud para consolidar el aprendizaje.",Cloud,"serverless, BigQuery, AWS, Lambda, Azure DevOps",Avanzado,Medium
178,Infraestructura como código con Terraform,Guía de referencia rápida: Infraestructura como código con Terraform. Consulta práctica sobre Nginx y Prometheus para resolver problemas cotidianos en DevOps. Incluye snippets de código y comandos útiles. El contenido también cubre errores comunes al usar AWS.,DevOps,"Nginx, Prometheus, Travis CI",Intermedio,Wiki interna
179,Orquestación de contenedores con Kubernetes,"Proyecto guiado: Orquestación de contenedores con Kubernetes. Construye paso a paso una solución completa usando Grafana, Packer y Datadog. Enfocado en DevOps con código disponible en GitHub. El contenido también cubre errores comunes al usar infraestructura como código.",DevOps,"Grafana, Packer, Datadog, Zipkin, Travis CI, Prometheus",Básico,Dev.to
180,Migración de workloads on-premise a la nube,"Masterclass de Migración de workloads on-premise a la nube. Se profundiza en IAM, CloudTrail y Pub/Sub con casos de estudio de empresas reales. Incluye ejercicios de Cloud para consolidar el aprendizaje. Incluye una sección de preguntas frecuentes sobre Route 53.",Cloud,"IAM, CloudTrail, Pub/Sub, autoescalado, Cloud SQL, AKS",Avanzado,Blog técnico
181,Principales vulnerabilidades OWASP Top 10,"Workshop práctico: Principales vulnerabilidades OWASP Top 10. Trabajaremos con GDPR, auditoría y MFA en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Seguridad.",Seguridad,"GDPR, auditoría, MFA, phishing, DDoS, SIEM",Avanzado,Documentación oficial
182,Feature engineering para mejorar modelos,"Tutorial avanzado de Feature engineering para mejorar modelos. Exploramos la integración de Altair con machine learning para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción. Finalmente, se revisan consideraciones de rendimiento con ETL.",Data Science,"Altair, machine learning, Plotly",Avanzado,Dev.to
183,Blockchain para autenticación descentralizada,"Guía completa sobre Blockchain para autenticación descentralizada. Aprenderás a trabajar con Metasploit, DDoS y OWASP desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Seguridad. Se incluyen ejemplos usando Zero Trust y pentesting.",Seguridad,"Metasploit, DDoS, OWASP",Básico,Wiki interna
184,Seguridad en almacenamiento local de apps,"Workshop práctico: Seguridad en almacenamiento local de apps. Trabajaremos con App Store, Xcode y Dart en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Mobile.",Mobile,"App Store, Xcode, Dart",Básico,Wiki interna
185,Migración de datos entre sistemas heterogéneos,"En este contenido se presentan los conceptos fundamentales de Migración de datos entre sistemas heterogéneos. Se explica paso a paso cómo implementar soluciones prácticas utilizando CAP theorem y SQL, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Bases de Datos. El contenido también cubre errores comunes al usar CockroachDB.",Bases de Datos,"CAP theorem, SQL, TimescaleDB, MongoDB",Intermedio,Tutorial
186,Service mesh con Istio en Kubernetes,"Artículo técnico sobre Service mesh con Istio en Kubernetes. Comparativa entre Trivy y CircleCI: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en DevOps. El contenido también cubre errores comunes al usar Canary.",DevOps,"Trivy, CircleCI, Prometheus, infraestructura como código, Jaeger",Básico,Libro técnico
187,Despliegue de aplicaciones en Google Cloud Run,"Introducción práctica a Despliegue de aplicaciones en Google Cloud Run. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando backup, CloudWatch y CloudTrail. Perfecto para equipos que inician proyectos de Cloud.",Cloud,"backup, CloudWatch, CloudTrail, costos",Intermedio,Blog técnico
188,Configuración de Vite para proyectos modernos,"Artículo técnico sobre Configuración de Vite para proyectos modernos. Comparativa entre Prettier y Figma: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Frontend. Se incluyen ejemplos usando Babel y WebAssembly.",Frontend,"Prettier, Figma, Chart.js, componentes, GSAP",Avanzado,Dev.to
189,Dashboards interactivos con Streamlit,"Análisis de caso: Dashboards interactivos con Streamlit. Revisamos cómo una empresa migró de Transformers a Seaborn en su plataforma de Data Science. Métricas, resultados y recomendaciones.",Data Science,"Transformers, Seaborn, Dask",Avanzado,Wiki interna
190,Seguridad en contenedores Docker,"Documentación técnica sobre Seguridad en contenedores Docker. Se detallan las configuraciones necesarias para Linkerd y Docker, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. El contenido también cubre errores comunes al usar pipelines.",DevOps,"Linkerd, Docker, Trivy, Vault",Intermedio,Blog técnico
191,Optimización de planes de ejecución de consultas,"Masterclass de Optimización de planes de ejecución de consultas. Se profundiza en normalización, consultas y Firestore con casos de estudio de empresas reales. Incluye ejercicios de Bases de Datos para consolidar el aprendizaje. Se proporciona una comparativa entre MariaDB y particionamiento.",Bases de Datos,"normalización, consultas, Firestore, Oracle, indexación, CAP theorem",Básico,Dev.to
192,Introducción a servicios serverless en AWS Lambda,"Curso intensivo de Introducción a servicios serverless en AWS Lambda. Domina costos, Fargate y CloudFront a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Cloud. Finalmente, se revisan consideraciones de rendimiento con DynamoDB.",Cloud,"costos, Fargate, CloudFront",Básico,Conferencia
193,Infraestructura de claves públicas PKI,"Curso intensivo de Infraestructura de claves públicas PKI. Domina auditoría, ABAC y HSM a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Seguridad. Se proporciona una comparativa entre Metasploit y Kali Linux.",Seguridad,"auditoría, ABAC, HSM",Básico,Libro técnico
194,Publicación de apps en App Store y Google Play,"Artículo técnico sobre Publicación de apps en App Store y Google Play. Comparativa entre Android Studio y API móvil: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Mobile.",Mobile,"Android Studio, API móvil, React Native, CameraX",Intermedio,Webinar
195,Progressive Web Apps con Service Workers,"Análisis de caso: Progressive Web Apps con Service Workers. Revisamos cómo una empresa migró de Figma a Chakra UI en su plataforma de Frontend. Métricas, resultados y recomendaciones. Se incluyen ejemplos usando Figma y Framer Motion.",Frontend,"Figma, Chakra UI, Recoil, Material UI",Básico,Medium
196,Clasificación de imágenes con PyTorch,"Introducción práctica a Clasificación de imágenes con PyTorch. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Dask, Bokeh y Plotly. Perfecto para equipos que inician proyectos de Data Science.",Data Science,"Dask, Bokeh, Plotly, ETL, Spark, modelos",Intermedio,Libro técnico
197,Configuración de balanceadores de carga con Nginx,"Introducción práctica a Configuración de balanceadores de carga con Nginx. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Vagrant, Zipkin y Envoy. Perfecto para equipos que inician proyectos de DevOps. Finalmente, se revisan consideraciones de rendimiento con Travis CI.",DevOps,"Vagrant, Zipkin, Envoy, Docker, monitoring, Packer",Avanzado,Medium
198,Server Side Rendering con Next.js,Charla técnica: Server Side Rendering con Next.js. Se discuten los desafíos de implementar responsive y Tailwind en escenarios reales de Frontend. Lecciones aprendidas y errores a evitar.,Frontend,"responsive, Tailwind, Bootstrap, Babel, Sass, HTML5",Básico,Dev.to
199,GitOps con ArgoCD para despliegues automatizados,"Análisis de caso: GitOps con ArgoCD para despliegues automatizados. Revisamos cómo una empresa migró de Linkerd a New Relic en su plataforma de DevOps. Métricas, resultados y recomendaciones. Incluye una sección de preguntas frecuentes sobre Linkerd.",DevOps,"Linkerd, New Relic, SonarQube, Packer, HAProxy",Intermedio,Webinar
200,Big Data en la nube con BigQuery y Redshift,"En este contenido se presentan los conceptos fundamentales de Big Data en la nube con BigQuery y Redshift. Se explica paso a paso cómo implementar soluciones prácticas utilizando migración y AWS, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Cloud. Se incluyen ejemplos usando Route 53 y SQS.",Cloud,"migración, AWS, Azure DevOps",Básico,Conferencia
201,Optimización de planes de ejecución de consultas,Guía de referencia rápida: Optimización de planes de ejecución de consultas. Consulta práctica sobre CAP theorem y ETL para resolver problemas cotidianos en Bases de Datos. Incluye snippets de código y comandos útiles.,Bases de Datos,"CAP theorem, ETL, replicación, InfluxDB, Neo4j",Intermedio,Documentación oficial
202,Optimización del rendimiento en aplicaciones Angular,"En este contenido se presentan los conceptos fundamentales de Optimización del rendimiento en aplicaciones Angular. Se explica paso a paso cómo implementar soluciones prácticas utilizando CSS y Figma, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Frontend.",Frontend,"CSS, Figma, Webpack, Storybook, Playwright, Jest",Intermedio,Tutorial
203,Procesamiento de lenguaje natural con spaCy,"Workshop práctico: Procesamiento de lenguaje natural con spaCy. Trabajaremos con ETL, machine learning y Python en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Data Science. El contenido también cubre errores comunes al usar LightGBM.",Data Science,"ETL, machine learning, Python, Scikit-learn, spaCy",Avanzado,Conferencia
204,Orquestación de contenedores con Kubernetes,"Artículo técnico sobre Orquestación de contenedores con Kubernetes. Comparativa entre GitHub Actions y Pulumi: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en DevOps.",DevOps,"GitHub Actions, Pulumi, Istio, despliegue",Básico,Curso online
205,Configuración de pipelines CI/CD con GitHub Actions,"Proyecto guiado: Configuración de pipelines CI/CD con GitHub Actions. Construye paso a paso una solución completa usando Linkerd, GitOps y SonarQube. Enfocado en DevOps con código disponible en GitHub.",DevOps,"Linkerd, GitOps, SonarQube, Consul, Travis CI",Intermedio,Medium
206,Dashboards interactivos con Streamlit,"Tutorial avanzado de Dashboards interactivos con Streamlit. Exploramos la integración de LightGBM con Python para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción.",Data Science,"LightGBM, Python, Pillow",Intermedio,YouTube
207,Procesamiento de lenguaje natural con spaCy,"Guía de referencia rápida: Procesamiento de lenguaje natural con spaCy. Consulta práctica sobre clasificación y SciPy para resolver problemas cotidianos en Data Science. Incluye snippets de código y comandos útiles. Además, se discute la integración con GPT.",Data Science,"clasificación, SciPy, Hugging Face",Avanzado,Libro técnico
208,Visualización de datos con D3.js y Chart.js,"Proyecto guiado: Visualización de datos con D3.js y Chart.js. Construye paso a paso una solución completa usando Playwright, Framer Motion y Chakra UI. Enfocado en Frontend con código disponible en GitHub. Finalmente, se revisan consideraciones de rendimiento con accesibilidad.",Frontend,"Playwright, Framer Motion, Chakra UI, SPA, Three.js",Avanzado,Wiki interna
