id,titulo,texto,categoria,palabras_clave,nivel_dificultad,fuente
83,Modelado de datos para aplicaciones de escalabilidad masiva,"Curso intensivo de Modelado de datos para aplicaciones de escalabilidad masiva. Domina PostgreSQL, backup y ORM a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Bases de Datos. Se incluyen ejemplos usando indexación y PostgreSQL.",Bases de Datos,"PostgreSQL, backup, ORM, Redis, ACID",Básico,Wiki interna
84,Optimización de costos en entornos cloud,"Artículo técnico sobre Optimización de costos en entornos cloud. Comparativa entre Lambda y migración: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Cloud. El contenido también cubre errores comunes al usar costos.",Cloud,"Lambda, migración, Azure, multi-cloud",Básico,Medium
85,Cumplimiento normativo GDPR en aplicaciones,"Workshop práctico: Cumplimiento normativo GDPR en aplicaciones. Trabajaremos con VPN, criptografía y auditoría en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Seguridad. El contenido también cubre errores comunes al usar compliance.",Seguridad,"VPN, criptografía, auditoría, vulnerabilidades",Básico,Dev.to
86,Configuración de pipelines CI/CD con GitHub Actions,"Artículo técnico sobre Configuración de pipelines CI/CD con GitHub Actions. Comparativa entre pipelines y Azure: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en DevOps.",DevOps,"pipelines, Azure, Terraform",Avanzado,Blog técnico
87,Procesamiento de Big Data con Apache Spark,"Documentación técnica sobre Procesamiento de Big Data con Apache Spark. Se detallan las configuraciones necesarias para clustering y Big Data, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. Finalmente, se revisan consideraciones de rendimiento con clasificación.",Data Science,"clustering, Big Data, ETL, Matplotlib",Intermedio,Blog técnico
88,Análisis exploratorio de datos con Pandas,"Tutorial avanzado de Análisis exploratorio de datos con Pandas. Exploramos la integración de regresión con TensorFlow para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción.",Data Science,"regresión, TensorFlow, clasificación",Intermedio,Curso online
89,Implementación de encriptación de datos sensibles,"Deep dive sobre Implementación de encriptación de datos sensibles. Analizamos arquitecturas modernas que combinan Zero Trust y criptografía. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Seguridad. Finalmente, se revisan consideraciones de rendimiento con CSRF.",Seguridad,"Zero Trust, criptografía, OWASP, VPN",Intermedio,Wiki interna
90,Series temporales y forecasting,"Introducción práctica a Series temporales y forecasting. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando clustering, clasificación y Python. Perfecto para equipos que inician proyectos de Data Science.",Data Science,"clustering, clasificación, Python, NumPy, análisis de datos",Básico,Curso online
91,Gestión de identidades y accesos con IAM,"Workshop práctico: Gestión de identidades y accesos con IAM. Trabajaremos con VPC, costos y IAM en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Cloud. Se incluyen ejemplos usando cloud native y backup.",Cloud,"VPC, costos, IAM, serverless",Avanzado,Wiki interna
92,Configuración de balanceadores de carga con Nginx,"En este contenido se presentan los conceptos fundamentales de Configuración de balanceadores de carga con Nginx. Se explica paso a paso cómo implementar soluciones prácticas utilizando Azure y monitoring, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en DevOps. Se incluyen ejemplos usando AWS y despliegue.",DevOps,"Azure, monitoring, Terraform, Docker, infraestructura como código",Básico,Documentación oficial
93,Estrategias de indexación para consultas rápidas,"Workshop práctico: Estrategias de indexación para consultas rápidas. Trabajaremos con replicación, sharding y PostgreSQL en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Bases de Datos. Finalmente, se revisan consideraciones de rendimiento con migración.",Bases de Datos,"replicación, sharding, PostgreSQL, SQL",Básico,Tutorial
94,Construcción de modelos de regresión con Scikit-learn,"Introducción práctica a Construcción de modelos de regresión con Scikit-learn. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando machine learning, visualización y Scikit-learn. Perfecto para equipos que inician proyectos de Data Science. Además, se discute la integración con NLP.",Data Science,"machine learning, visualización, Scikit-learn, PyTorch, modelos",Básico,Curso online
95,Desarrollo de apps multiplataforma con Flutter,"Guía completa sobre Desarrollo de apps multiplataforma con Flutter. Aprenderás a trabajar con Android, App Store y Firebase desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Mobile. Se incluyen ejemplos usando widgets y API móvil.",Mobile,"Android, App Store, Firebase",Avanzado,Tutorial
96,Estrategias de indexación para consultas rápidas,"Documentación técnica sobre Estrategias de indexación para consultas rápidas. Se detallan las configuraciones necesarias para NoSQL y ORM, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo.",Bases de Datos,"NoSQL, ORM, migración, sharding, PostgreSQL",Avanzado,Dev.to
97,Automatización de despliegues con Ansible,"Introducción práctica a Automatización de despliegues con Ansible. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Nginx, CI/CD y Prometheus. Perfecto para equipos que inician proyectos de DevOps.",DevOps,"Nginx, CI/CD, Prometheus, bash",Avanzado,Wiki interna
98,Accesibilidad web: WCAG y buenas prácticas,"Tutorial avanzado de Accesibilidad web: WCAG y buenas prácticas. Exploramos la integración de Redux con Next.js para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción.",Frontend,"Redux, Next.js, SSR",Básico,Curso online
99,Consultas avanzadas con window functions,"Curso intensivo de Consultas avanzadas con window functions. Domina backup, MongoDB y transacciones a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Bases de Datos.",Bases de Datos,"backup, MongoDB, transacciones, replicación",Básico,Documentación oficial
100,Arquitectura de microservicios con Go y gRPC,"Introducción práctica a Arquitectura de microservicios con Go y gRPC. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Kubernetes, API REST y ORM. Perfecto para equipos que inician proyectos de Backend.",Backend,"Kubernetes, API REST, ORM, Django, base de datos",Intermedio,Dev.to
101,Clasificación de imágenes con PyTorch,"Deep dive sobre Clasificación de imágenes con PyTorch. Analizamos arquitecturas modernas que combinan machine learning y NumPy. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Data Science. El contenido también cubre errores comunes al usar Matplotlib.",Data Science,"machine learning, NumPy, deep learning, Scikit-learn",Avanzado,Curso online
102,Manejo de formularios complejos en React,"Introducción práctica a Manejo de formularios complejos en React. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando SSR, accesibilidad y TypeScript. Perfecto para equipos que inician proyectos de Frontend. Además, se discute la integración con Next.js.",Frontend,"SSR, accesibilidad, TypeScript, Tailwind, componentes",Avanzado,Tutorial
103,Creación de APIs REST escalables con Spring Boot,"Tutorial avanzado de Creación de APIs REST escalables con Spring Boot. Exploramos la integración de base de datos con GraphQL para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción.",Backend,"base de datos, GraphQL, Go",Intermedio,Documentación oficial
104,Manejo de formularios complejos en React,"Introducción práctica a Manejo de formularios complejos en React. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Next.js, UI/UX y SPA. Perfecto para equipos que inician proyectos de Frontend. Finalmente, se revisan consideraciones de rendimiento con Vite.",Frontend,"Next.js, UI/UX, SPA, hooks, DOM",Intermedio,Curso online
105,Protección contra ataques SQL Injection y XSS,"Documentación técnica sobre Protección contra ataques SQL Injection y XSS. Se detallan las configuraciones necesarias para CSRF y auditoría, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo.",Seguridad,"CSRF, auditoría, vulnerabilidades, SQL injection",Intermedio,Curso online
106,Gestión de certificados SSL/TLS,"Artículo técnico sobre Gestión de certificados SSL/TLS. Comparativa entre vulnerabilidades y OWASP: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Seguridad. Finalmente, se revisan consideraciones de rendimiento con Zero Trust.",Seguridad,"vulnerabilidades, OWASP, GDPR, compliance, XSS",Intermedio,Medium
107,Gestión de identidades y accesos con IAM,Serie de tutoriales: Gestión de identidades y accesos con IAM. Parte 1: configuración inicial con serverless. Parte 2: integración con Azure. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Cloud.,Cloud,"serverless, Azure, VPC, cloud native, alta disponibilidad",Básico,Documentación oficial
108,Sharding horizontal en bases de datos distribuidas,Serie de tutoriales: Sharding horizontal en bases de datos distribuidas. Parte 1: configuración inicial con ACID. Parte 2: integración con SQL. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Bases de Datos. Se incluyen ejemplos usando MySQL y SQL.,Bases de Datos,"ACID, SQL, Cassandra, MySQL",Intermedio,Tutorial
109,Publicación de apps en App Store y Google Play,"Deep dive sobre Publicación de apps en App Store y Google Play. Analizamos arquitecturas modernas que combinan BLoC y Kotlin. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Mobile. El contenido también cubre errores comunes al usar Kotlin.",Mobile,"BLoC, Kotlin, Flutter, Xcode, iOS",Básico,Medium
110,Introducción a servicios serverless en AWS Lambda,"Deep dive sobre Introducción a servicios serverless en AWS Lambda. Analizamos arquitecturas modernas que combinan autoescalado y IAM. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Cloud. Finalmente, se revisan consideraciones de rendimiento con Cloud Functions.",Cloud,"autoescalado, IAM, AWS, Azure, migración",Avanzado,Dev.to
111,Configuración de redes VPC en AWS,"Curso intensivo de Configuración de redes VPC en AWS. Domina S3, VPC y AWS a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Cloud. Se incluyen ejemplos usando redes y redes.",Cloud,"S3, VPC, AWS, Azure",Avanzado,Tutorial
112,Diseño de esquemas relacionales eficientes,"Documentación técnica sobre Diseño de esquemas relacionales eficientes. Se detallan las configuraciones necesarias para replicación y MongoDB, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo.",Bases de Datos,"replicación, MongoDB, ORM, backup",Avanzado,Dev.to
113,Manejo de formularios complejos en React,"Documentación técnica sobre Manejo de formularios complejos en React. Se detallan las configuraciones necesarias para CSS y Vite, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo.",Frontend,"CSS, Vite, React",Intermedio,Curso online
114,Diseño de interfaces nativas en SwiftUI,"Deep dive sobre Diseño de interfaces nativas en SwiftUI. Analizamos arquitecturas modernas que combinan iOS y Firebase. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Mobile.",Mobile,"iOS, Firebase, Flutter, Android",Básico,Wiki interna
115,Integración de Firebase en aplicaciones Android,"Artículo técnico sobre Integración de Firebase en aplicaciones Android. Comparativa entre API móvil y BLoC: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Mobile.",Mobile,"API móvil, BLoC, Firebase, cámara",Básico,Curso online
116,Uso de Redis como base de datos en memoria,"Serie de tutoriales: Uso de Redis como base de datos en memoria. Parte 1: configuración inicial con NoSQL. Parte 2: integración con replicación. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Bases de Datos. Finalmente, se revisan consideraciones de rendimiento con PostgreSQL.",Bases de Datos,"NoSQL, replicación, ORM, ACID, PostgreSQL",Básico,Dev.to
117,Uso de Redis como capa de caché en aplicaciones web,Serie de tutoriales: Uso de Redis como capa de caché en aplicaciones web. Parte 1: configuración inicial con Docker. Parte 2: integración con ORM. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Backend.,Backend,"Docker, ORM, FastAPI",Básico,Medium
118,Implementación de encriptación de datos sensibles,"Workshop práctico: Implementación de encriptación de datos sensibles. Trabajaremos con certificados, criptografía y CSRF en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Seguridad.",Seguridad,"certificados, criptografía, CSRF",Avanzado,Medium
119,Construcción de modelos de regresión con Scikit-learn,"Serie de tutoriales: Construcción de modelos de regresión con Scikit-learn. Parte 1: configuración inicial con machine learning. Parte 2: integración con clasificación. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Data Science. Además, se discute la integración con Scikit-learn.",Data Science,"machine learning, clasificación, NLP, Matplotlib, PyTorch",Intermedio,Wiki interna
120,Criptografía asimétrica y firma digital,"Documentación técnica sobre Criptografía asimétrica y firma digital. Se detallan las configuraciones necesarias para vulnerabilidades y Zero Trust, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo.",Seguridad,"vulnerabilidades, Zero Trust, certificados, firewall",Básico,Tutorial
